GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,GraphRAGController.QuestionRequest,124,0,22,0,5,0,21,0,10,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,ShaclController,79,0,2,0,20,0,6,0,5,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,SparqlController.SparqlRequest,81,0,14,0,4,0,15,0,8,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,ExcelController,380,0,28,0,94,0,21,0,7,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,ReportController,181,0,0,0,47,0,7,0,7,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,HistoryController,163,0,6,0,42,0,11,0,8,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,AnalysisController,33,0,0,0,9,0,3,0,3,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,SparqlController,240,0,8,0,55,0,11,0,7,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,DataFixerController,96,0,10,0,22,0,9,0,4,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,GraphRAGController.ImpactRequest,81,0,14,0,4,0,15,0,8,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,GraphRAGController,443,0,42,0,109,0,37,0,16,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,ReportController.DataQualityReportRequest,82,0,14,0,4,0,15,0,8,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,SystemController,288,0,4,0,59,0,6,0,4,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,CimController,565,0,10,0,119,0,16,0,11,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,LoadFlowController,321,0,8,0,74,0,16,0,12,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.controller,DiagnosticController,30,0,0,0,8,0,3,0,3,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.model,ImportHistory,495,0,84,0,15,0,71,0,29,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.model,ImportHistory.ImportHistoryBuilder,110,0,0,0,1,0,14,0,14,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.model,ImportHistory.ImportStatus,27,0,0,0,2,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.model,ChatHistory,498,0,86,0,26,0,71,0,28,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.model,ChatHistory.ChatHistoryBuilder,101,0,0,0,1,0,13,0,13,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.repository,InMemoryChatHistoryRepository,84,0,2,0,18,0,11,0,10,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,DataFixerService.FixResult,21,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,EmbeddingService.OpenAIEmbeddingResponse,12,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,DataFixerService.ApplyResponse,15,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,NetworkDiagnosticService,760,0,60,0,198,0,40,0,10,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ShaclValidationService.Violation,250,0,46,0,7,0,38,0,15,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,CIMIndexingService.IndexingResult,15,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,NetworkDiagnosticService.DiagnosticResult,219,0,0,0,60,0,39,0,39,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,NetworkDiagnosticService.DiagnosticIssue,15,0,0,0,6,0,3,0,3,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ExcelImportService,5994,0,613,0,882,0,341,0,30,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ExcelImportService.SheetAnalysis,283,0,48,0,7,0,42,0,18,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ExcelImportService.SheetAnalysis.SheetAnalysisBuilder,66,0,0,0,1,0,9,0,9,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ImportHistoryService,241,0,16,0,67,0,22,0,14,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,AnalysisService.QualityCheck,18,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,AnalysisService,540,0,34,0,107,0,32,0,15,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,GraphRAGService,3807,0,382,0,649,0,216,0,25,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ExcelImportService.ImportResult.ImportResultBuilder,74,0,0,0,1,0,10,0,10,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,DataFixerService.FixRequest,15,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,AnalysisService.TopEntity,15,0,0,0,1,0,1,0,1,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,PandapowerService,604,4,36,0,94,1,23,1,5,1
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,ShaclValidationService.ValidationResult,276,0,34,0,9,0,37,0,20,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,JenaService,696,151,20,10,135,36,29,10,16,8
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,CimTransformerService,534,0,41,0,112,0,33,0,11,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,OllamaService,276,0,4,0,62,0,13,0,11,0
CIM-SemanticGraph-Platform,com.cim.semanticgraph.service,LoadFlowService,416,764,85,59,97,215,75,16,7,12
